.NET技术	Microsoft .Net Technology
无机合成及元素化学	Inorganic Synthesis and Element Chemistry
无机化学	Inorganic Chemistry
无机化学实验	Inorganic Chemistry Lab.
无机与分析化学	Inorganic and Analytic Chemistry
无机与分析化学（A类）（1）	Inorganic and Analytic Chemistry I
无机与分析化学（A类）（2）	Inorganic and Analytic Chemistry II
无机与分析化学（B类）	Inorganic and Analytic Chemistry
无机与分析化学（C类）	Inorganic and Analytic Chemistry
无机与分析化学实验	Inorganic and Analytic Chemistry Lab.
无机与分析化学实验（A类）	Inorganic and Analytic Chemistry Lab.
无机与分析化学实验（B类）	Inorganic and Analytic Chemistry Lab.
无损检测	Non-destructive Detection
无损检测技术	Nondestructive Detection Technology
无线通信原理与应用	Wireless Communications and Applications
武术	Martial Arts
武侠小说研究	The Study of Wuxia Novels
舞蹈基本训练	Basic Educate of Dance
舞蹈基础	Basic Training of Dance
舞蹈基础训练	Basic Training of Dance
物理化学	Physical Chemistry
物理化学（1）	Physical Chemistry I
物理化学(2)	Physical Chemistry II
物理化学（A类）（1）	Physical Chemistry I
物理化学（A类）（2）	Physical Chemistry II
物理化学（B类）	Physical Chemistry
物理化学（C类）	Physical Chemistry
物理化学（D类）（1）	Physical Chemistry I
物理化学（D类）（1）实验	Physical Chemistry Lab.I
物理化学（D类）（2）	Physical Chemistry II
物理化学（D类）（2）实验	Physical Chemistry Lab.II
物理化学(E类）	Physical Chemistry
物理化学(含结构化学）	Physical Chemistry (Including Structure Chemistry)
物理化学实验	Physical Chemistry Lab.
物理前沿	Frontiers of Physics
物理实验	Physics Lab.
物理实验（1）	Physics Lab I
物理实验（2）	Physics Lab II
物理实验（3）	Physics Lab III
物理实验(二)	Physics Lab II
物理实验(一)	Physics Lab I
物理实验基础训练	Basic Training of Physics Experiments
物理有机化学	Physical Organic Chemistry
物理与文明	Physics and Civilization
物理与现代技术	Physics and Modern Technology
物理与现代技术II	Physics and Modern Technology II
物理专业实习	Professional Practice
物理专业实验	Professional Experiment
物理纵横	Physics Horizon
物流管理	Business Logistics Management
物流管理	Logistics Management
物流管理（A类）	Logistics Management
物流管理（B类）	Logistics Management
物流机械化与自动化技术	Logistics Engineering and Automation Technology
物流基础	The Fundamental of Logistics
物流及设施规划	Logistics & Layout
物流学	Logistics
物流学导论	Introductory Logistics
物流学导论（物流）	Introductory Logistics
物流与供应链	Logistics and Supply Chain
物流自动化技术	Automation of Material Handling
物流自动化技术	Automation of Material Motion
物权法	Law of Real Right
物性与结构	Material Property and Structure
物业管理	Property Management
误差理论	Theory of Error
误差理论与数据处理	Theory of Error and Data Processing
西方当代文艺思潮	Trend of Thought of Western Literature and Arts
西方地理与文明	Western Geography and Civilization
西方福利国家研究	Research on Western Welfare States
西方会计学	Accounting
西方经典音乐名作	Western Classic Music
西方经济理论与中国经济问题	West Economics Theory & China Issues
西方经济学	Theory of Western Economics
西方经济学（B类）	Theory of Western Economics
西方经济学(C类)	Theory of Western Economics
西方经济学说概论	Theory of Western Economics
西方礼仪文化	Western Ceremony Culture
西方美学史	History of Western Aesthetics
西方视觉艺术概论	Introduction to West Visual Art
西方视觉艺术史概述	Introduction to West Visual Art
西方文化	West Culture
西方文化史	History of West Culture
西方文学名家（1）	Western Famous Litterateur I
西方文学名家（2）	Western Famous Litterateur II
西方文学史（1）	History of occidental literature
西方文学史（2）	History of Occidental Literature (II)
西方文学作品选	Western Literature
西方现当代文化思潮	Western Cultural Thoughts
西方现当代文艺思潮	Trend of Thought of Western Literature and Arts
西方音乐文化史	History of Music in Western Culture
西方政治思想专题讲座	Special Topics on Western Politics Thought
吸附原理	Adsorption Theory
系列实验化学(2)	Experimental Chemistry II
系统分析与设计	System Analysis and Design
系统分析与设计方法	System Analysis and Design Methods
系统工程	System Engineering
系统工程	Systems Engineering
系统工程（A类）	System Engineering
系统工程（C类）	Systems Engineering
系统机原理及接口	Principle of SingleChip and Its Interface
系统机原理与应用技术	Principle of SingleChip and Its Application
系统集成芯片(SOC）设计入门	SOC Design
系统开发基础（1）	Fundamentals of System Development I
系统开发基础（2）	Fundamentals of System Development II
系统科学概论	Introductory System Science
系统科学精要	Introductory System Science
系统可靠性分析	System Reliability Analysis
系统控制论	System Control
系统设计与开发大型课程设计	Course Design of System Design and Development
系统生物学前沿研讨	Introduction to System Biology
系统性产品设计	Systemic Production Design
细胞工程	Cell Engineering
细胞生物学	Cell Biology
细胞生物学（A类）	Cell Biology
细胞生物学（B类）	Cell Biology
细胞生物学（C类）	Cell Biology
细胞生物学ABC	CELL BIOLOGY: A SHORT COURSE
细胞生物学实验	Cell Biology Lab.
下一代网络及软交换原理	Principles of Next Generation Network and Soft Switching
先进电子制造导论	Introduction to Advanced Electronic Manufacture
先进电子制造导论	Introductory Advanced Electronic Manufacture
先进光电磁材料和器件	"Electronic Magnetic,and Optical Material"
先进核能系统	Advanced Nuclear Systems
先进核能系统及综合利用	Advanced Nuclear Energy System and Synthesis Utilization
先进生产方式与管理模式	Advanced Manufacturing Mechods and Management Modes
先进塑性成形技术专题讲座	Special Seminars of Advanced Plasticity Forming Technology
先进制造技术	Advanced Menufacturing Technology
现场总线技术	Electronic Bus Technology
现代表面技术	Modern Surface Technology
现代材料绿色设计与绿色制造	Green Design and Manufacture of Modern Materials
现代测控技术讲座	Projection of Modern Detection and Control Technology
现代测量技术	Modern Measurement Technology
现代测试技术	Advanced Measurement Technique
现代测试技术	Modern Measurement Techniqueis
现代测试系统	Modern Testing System
现代车身制造质量控制	Modern Automotive Body Quality Control
现代城市发展论	theory On the development of the modern city
现代电力系统管理	Modern Power System Management
现代电气技术讲座	Modern Electrical Technology
现代电气检测技术	Modern Electrical Inspection and Measurement Theory
现代电气检测技术	Modern Electrical Monitor and Measurement Technology
现代电子技术	Modern Electrics Technology
现代动力技术	Modern Powertrain Technology
现代分析方法	Modern Analysis Method
现代分析基础	Modern Calculus and Analysis
现代分析基础（1）	Modern Calculus and Analysis I
现代分析基础（1）*	Modern Calculus and Analysis I
现代分析基础（2）	Modern Calculus and Analysis II
现代分析基础（2）*	Modern Calculus and Analysis II
现代分析技术	Modern Analytical Technology
现代公司金融学	Corporate Finance
现代公司金融学	Modern Corporatation Fianance
现代光学概论	Introduction to Modern Optics
现代广告学	Modern Advertisement
现代广告学	Modern Advertising
现代汉语	Modern Chinese
现代汉语（B类）（1）	Modern Chinese
现代汉语（B类）（2）	Modern Chinese
现代化学导论	General Chemistry
现代化学导论	Introduction to Modern Chemistry
现代环境功能材料	Modern Environmental Functional Materials
现代计算机网络构建与管理实训	Practice of Modern Computer Network’s Building and Management
现代检测技术与系统	Modern Testing Technology and Systems
现代舰船动力技术	Powertrain Technology of Modern Vessel
现代交换技术	Modern Switch Technology
现代轿车技术	Techniques of Modern Cars
现代轿车新技术	New Techniques of Modern Cars
现代结构实验技术	Structure Lab.
现代控制理论	Modern Control Theory
现代控制理论（A类）	Modern Control Theory
现代控制理论（B类）	Modern Control Theory
现代控制理论（C类）	Modern Control Theory
现代力学进展	Progress of Modern Mechanics
现代楼宇空调控制技术	Technology of Control of Modern Central Air-condition System
现代楼宇空调控制技术	Technology of Control of Modern Central Air-conditioning System
现代密码学	Modern Cryptography
现代模具制造技术	Modern Manufacturing Technology of Die and Mould
现代模具制造技术（A类）	Modern Manufacturing Technology of Die and Mould(A)
现代模具制造技术（B类）	Modern Manufacturing Technology of Die and Mould(B)
现代农业导论	Introduction to Modern Agriculture
现代农业企业管理	Modern Agro-cooperation Management
现代农业前沿讲座	Lectures on Modern Agriculture
现代农业与生态文明	Modern Agriculture and Ecology Civilization
现代农艺学	Modern Agronomy
现代企业管理	Modern Enterprise Management
现代企业制度	Institution of Modern Times Enterprise
现代人力资源开发与管理概论	Human Resource Management & Development
现代日本政治	Modern Japanese Politics
现代色谱技术	Modern Chromatography Technology
现代生产管理学	Modern Production Management
现代生物分析测试技术	Applications of Modern Instrumental Analysis in Biological Sciences
现代生物技术概论	Introduction to Modern Biotechnology
现代生物显微技术	Modern Biology Microscopy
现代生物学导论	Introduction to Modern Biology
现代生物学导论实验	Introduction to Modern Biology Lab.
现代实验技术	Modern Experimental technique
现代数学浅讲	Modern Mathematics
现代数学选讲	Lectures in Modern Mathematics
现代通信原理	Communication Principles
现代图学	Modern Drawing
现代网络传媒	Modern Network Media
现代物流装备技术	Modern Logistics Equipment Technology
现代西方哲学	Modern Western Philosophy
现代心理学	Modern Psychology
现代修辞学引论	Introduction to Modern Rhetoric
现代医学导论	Introduction to Medicine
现代医药学导论	Modern Medicine Introduction
现代医药学导论实验	Modern Medicine Introduction Lab.
现代医院营销管理战略	The Modern Hospital Marketing Strategy
现代仪器分析	Instrument Analysis
现代遗传学	Principle of Modern Genetics
现代营养学	Nutrition Training
现代造船技术	Modern Ship Construction Technology
现代制造工艺	Mechanical Manufacturing Technology
现代制造技术	Modern Manufacturing Technology
现代制造技术导论	Introduction to Modern Manufacturing Technology
现代制造装备及自动化	Modern Manufacturing Equipment and Automation
现代中日关系	Contemporary Sino-Janpanese Relations
现代中日关系	Modern Sino-Japan Relationship
现代种子种苗学	Modern Seed and Seedling Science
现代铸造技术	Modern Casting Technique
现代铸造技术	Modern Casting Technology
现代装饰设计	Contemporary Decoration Design
现代装饰设计	Modern Decoration Design
现代装饰艺术设计	Modern Decoration Design
线性代数	Linear Algebra
线性代数（A类）	Linear Algebra
线性代数（B类）	Linear Algebra
线性代数（C类）	Linear Algebra
线性代数和微分方程A	Applied Calculus IV
线性代数和微分方程B	Honors Mathematics IV
线性规划	Linear Programming
线性规划与非线性规划	Linear Programming and Non-Linear Programming
线性规划与非线性规划(英)	Linear Programming and Non-Linear Programming
宪法	Constitutional Law
宪法学	Constitution of Law
宪法学	Constitutional Law
宪法与行政法	Constitutional Law and Administrative Law
香港法概论	Introduction of HK.Law
香港基本法	Law of Hongkong
香港社会	Hong Kong Society
香气和香料	Flavor
项目管理	Project Management
项目管理及其在IT行业的应用	Project Management and its Application in IT
项目管理软件及其应用	Project Management
项目合同与监理	Project Contract and Supervising
项目融资与成本管理	Project Financing and Cost Management
项目组织与项目团队管理	Project Organization and Management
橡胶科学与工艺	Rubber Science and Technology
消费行为	Consumer Behavior
消费行为学	Consumer Behavior
消费者法	Law for Consumer
消费者行为学	Behavioral Science of Consumer
销售渠道管理	Sales Channel Management
销售渠道管理（营销）	Sales Channel Management(Marketing)
小波变换及其应用	Wavelet Analysis and its Application
小提琴音乐作品分析	Appreciation of Music
校园相声赏析	Campus Crosstalk Appreciation
写生实习	Outdoor Sketching
写作	Writing
写作与欣赏	Writing and Enjoyment
心理健康与医学	Medical Psychology and Health
心理学	Psychology
心理学(选)	Psychology
心理学导论	Introduction to Psychology
心理学改变生活	Psychology for Living
心理学基础	Psychology
心理学与生活	Psychology and Life
心理自助	Self-help Psychology
心血管力学生物学导论	Introduction to Cardiovascular Mechanobiology
新材料的力学性能导论	Introduction to Mechanics Property of New Materials
新产品开发	New Product Development
新概念热学及其在过程优化中的应用	New Concept Heat and Application in Process Optimization
新公共管理概论	Introductory Public Administration
新技术与电视传播	New Technology and TV Broadcasting
新媒体导论	Introduction To New Media
新能源发电技术	Electricity-generated Techniques of New Energies
新能源技术	Techniques of New Energies
新能源技术及应用	Techniques and Application of New Energies
新能源技术及应用	Techniques and Applications of New Energies
新闻编辑与评论	News Edition and Comments
新闻采访与编辑	News Interview and Compilation
新闻采访与写作	News Gathering and Writing
新闻采访与写作	News Interview and Writing
新闻采写编评	News Interview and Edit
新闻传播策划与报道战略	News communication Planning and Report Strategy
新闻传播学	Study of News and Communications
新闻法规与伦理	News Laws and Ethnics
新闻摄影	News Photography
新闻摄影与摄像	News Photography
新闻学导论	Introduction to Journalizing
新闻学导论（A类）	Introduction to Journalizing
新闻学导论（B类）	Introduction to Journalizing
新闻学原理	Journalism
新闻学原理	Principles in Journalizing
新闻与传播概论	Introduction to Journalism and Communication
新闻与传播名著选读	Selections of News and Communication Books
新闻与传播学毕业论文	Undergraduate Project (Thesis)
新型分离技术	Modern Separation Technology
新型化学电源	New Electrochemical Power Sources
新型建筑材料	New Construction Materials
薪酬管理	COMPENSATION
信号处理	Signal Processing
信号与系统	Signals and Systems
信号与系统	Signals and Systems
信号与系统（A类）	Signals and Systems
信号与系统（B类）	Signals and Systems
信号与系统（C类）	Signals and Systems
信号与系统（D类）	Signals and Systems
信号与系统（J类）（2）	Signals and Systems II
信号与系统处理	Intro to Signals and Systems
信号与线性系统	Signals and Linear System
信息安全	Information Security
信息安全的数学基础（1）	Mathematic Fundamentals of Information Security I
信息安全的数学基础（2）	Mathematic Fundamentals of Information Security II
信息安全工程基础	The Foundation of Information Security engineering
信息安全工程原理	Principles of Information Security Engineering
信息安全管理体系及技术	Network Security Management System and Technology
信息安全科技创新	Innovation of Science and Technology on Information Security
信息安全综合实践	Information Security Practice
信息分析方法与应用	Information Analysis Methods & Applications
信息工程导论	Introduction to Information Engineering
信息化与现代企业管理	Information Technology and Modern Enterprise Management
信息记录材料概论	Introduction to Information Recording Materials
信息技术前沿	Frontiers of IT
信息技术前沿（选）	Frontiers of IT
信息检索理论与实践	Information Retrieval: Theory and Practice
信息科学导论	Introduction to Information Science
信息论(1)	Information Theory
信息论与编码	Information Theory and Coding
信息设计	Information Design
信息素养	Information Literacy
信息系统分析与设计	Information System Analysis and Design
信息系统技术与实现	Information System Technology and Application
信息系统建模理论	Information System Modeling Theory
信息系统建模理论及实现方法	Information System Modeling Theory
信用消费理论与实务	Theory and Practice of Credit Consumption
刑法	Criminal Law
刑法（1）	Criminal Law I
刑法（2）	Criminal Law II
刑法（J类）（1）	Criminal Law I
刑法（J类）（2）	Criminal Law II
刑法（二）	Criminal Law II
刑法（一）	Criminal Law I
刑法学	Criminal Law
刑法与刑事诉讼法	Criminal Law and Criminal Procedure Law
刑事诉讼法	Criminal Procedure Law
刑事侦查学	CRIMINAL INVESTIGATION
行为经济学	Behavioral Economics
行政法	Administrative Law
行政法学	Administrative Law
行政法与行政诉讼法	Administration Law and Administration Procedure Law
行政法与行政诉讼法	Administrative Law and Administration Procedure
行政法与行政诉讼法	Administrative Law and Administration Procedure Law
行政法与行政诉讼法学	Administrative Law and Administration Procedure Law
行政管理论文报告	Thesis Report
行政管理专业英语（1）	Professional English for Public Administration I
行政管理专业英语（2）	Professional English for Public Administration II
行政文书	Administration Writing
行政文书(选）	Administration Writing
行政学	Administration
行政学原理	Principle of Administration
行政学原理(选）	Principle of Administration
形势与政策	Circumstance and Policy
形势与政策（医）	Circumstance and Policy
形象思维与工程语言	Visualization Thinking and Engineering Language
性与健康	Sex and Health
畜产品加工工艺	Animal Products Processing Technology
畜产品加工学	Livestock Products Processing
畜牧概论	Introduction to Husbandry
畜牧机械	Husbandry Machinery
畜牧生产系统工程	Husbandry Production System Engineering
畜牧学	Animal Husbandry
学生科技创新（软件学院）	Innovation of Science and Technology
学习心理学	Learning Theory and Psychology
压水堆核电站常规岛系统与设备	Systems and Equipment of Conventional Island in PWR Power Plant
压水堆核电站核岛系统与设备	Systems and Equipment of Nuclear Island in PWR Power Plant
亚洲电影专题	Seminars on Asian Films
岩石力学	Rock Mechanics
研究开发与创新管理	Research Development and Innovation Management
研究者的乐趣和资质－以船、海工程为例	Having Fun in Engineering Study and the Qualities Requisite for a Researcher- - Taking Naval Architecture and Ocean Engineering for Example
药代动力学	Pharmacolkinetics
药剂学	Pharmaceutics
药剂学（1）	Pharmaceutics I
药剂学（2）	Pharmaceutics II
药理学	Pharmacology
药品市场营销	Pharmaceutical Marketing
药事法规	Pharmaceutical Law
药物发展——延续生命的奥秘	Drug Development ——The Mystery of Lasting Human Life
药物分析	Pharmaceutical Analysis
药物合成反应	Pharmaceutical Synthesis Reaction
药物化学	Medicinal Chemistry
药物结构解析	Structural analysis of Drugs
药物市场营销	Pharmaceutical Marketing
药物输送技术	Drug Delivery Technology
药学、化学山海经	Pharmacology and Chemistry for Laypeople
药学基础知识讲座	Introduction to Pharmacy
药学实验（1）（药化）	Pharmaceutical Lab.(Medicinal Chemistry)
药学实验（2）（药剂）	Pharmaceutical Lab.(Pharmaceutics)
药学实验（3）（药理）	Pharmaceutical Lab.(Pharmacology)
药学实验（4）（药分）	Pharmaceutical Lab.(Pharmaceutical Analysis)
药学实验（5）（天然药化）	Pharmaceutical Lab.(Natural Medicinal Chemistry)
药学实验（6）（中药）	Pharmaceutical Lab.(Chinese Medicine)
药学实验（7）（生物药）	Pharmaceutical Lab.(Biopharmacutics)
药学文献检索	Pharmaceutical Literature search
药学专业前沿讲座	Friontier Lecture of Pharmacy
药学专业实习	Pharmaceutical Professional Practice
药用高分子材料学	Pharmaceutical Polymer Material
药用植物学	Pharmaceutical Botany
野生植物资源与开发	Wild Plant Resource and Development
野外素质拓展训练	Wild Diathesis Training
业余电台	Amateur Radio
叶利钦、普京与俄罗斯	"Yeltsin,Putin and Russia"
叶利钦、普京与俄罗斯(A)	"Yel'tsin, Boris Nikola yevich、Putin, Vladimir Vladimirovich and Russian"
叶轮机械原理	Theory of Impeller Mechanism
叶轮机械自动调节	Auto-Adjustment of Impeller Mechanism
液态成型过程CAD/CAE/CAM	CAD/CAE/CAM in precision forming by liquid metals
液压传动	Hydraulic Transmission
一周财经评论	Business This Week
医古文	Ancient Medical Literature
医化学基础	Medical Chemistry
医学超声基础	Fundament of Medical Ultrasonic
医学成像	Medical Imaging
医学导论	Introduction to Medicine
医学概论	Medical Introduction
医学概论（A类）	Introduction to Medicine
医学伦理学	Medical Ethics
医学伦理学	Medical Ethnics
医学人文概论（B类）	Introduction of medical humanities
医学图象处理	Medical Image Processing
医学图像处理	Medical Image Processing
医学文献检索	Medical Literature search
医学细胞生物学	Medical Cell Biology
医学心理学	Medical Psychology
医学心理与健康	Medical Psychology and Health
医学信息学	Medical Informatics
医学仪器原理	Principle and Design of Biomedical Instruments
医学英语写作	English Writing for Medicine
医学与社会	Medicine and Society
医药创新在国民经济中的角色	The Directional Role of Original Technology of Pharmaceutical Science on National Economic Development
医用高等数学（A类）	Medical Advanced Mathematics(A)
医用高等数学（B类）	Medical Advanced Mathematics(B)
医用化学（A类）	Medical Chemistry
医用化学（B类）	Medical Chemistry
医用化学（C类）	Medical Chemistry
医用化学（D类）	Medical Chemistry
医用物理学（A类）	Medical Physics (A)
医用物理学（B类）	Medical Physics (B)
仪表电工学	Instrument Electrical
仪器CAD（选）	Instrument CAD
仪器CAD优化设计	Instrument CAD
仪器分析	Instrument Analysis
仪器分析（A类）	Instrument Analysis
仪器分析（A类）实验	Instrument Analysis Lab.
仪器分析（B类）	Instrument Analysis
仪器光学基础	Fundamentals of Instrument Optics
仪器可靠性设计	Design of Instrument Reliability
仪器总线与虚拟仪器	Instrument of Field Bus and Virtual Instruments
仪器总线与虚拟仪器课程设计	Course Design on Instrument of Field Bus and Virtual Instruments
移动机器人构建与编程	Designing and Programming of Mobile Robot
移动通信	Mobile Communications
移动通信（A类）	Mobile Communications
移动通信（B类）	Mobile Communications
遗传毒理与疾病	Genetic Toxicology and Related Diseases
遗传算法及其应用	Genetic Algorithms and Applications
遗传算法及应用	Genetic Algorithms and its Application
遗传学	Genetics
遗传学（A类）	Genetics
遗传学（A类）实验	Genetics Lab.
遗传学（B类）	Genetics
遗传学（B类）实验	Genetics Lab.
遗传学（C类）	Genetics
遗传学实验	Genetics Lab.
遗传学实验(C类)	Genetics Lab.
遗传学与进化	Genetics and Anagenesis
艺术概论	Introduction to Fine Art
艺术歌曲演唱与技巧训练	Songs Enjoyment & Training
艺术鉴赏	Arts Appreciation
艺术鉴赏（选）	Art Appreciation
艺术鉴赏导论	Introduction to music appreciation
艺术设计	Art Design
艺术设计概论	Introduction to Art Design
艺术设计专业实习	Professional Practice
艺术摄影	Arts Photograph
艺术史	History of Art
艺术心理学	Artistic Psychology
艺术铸造	Arts Casting
音乐基础	Fundamentals of Music
音乐鉴赏	Appreciation of Music
音乐鉴赏(B）	Music Review
音乐精品赏析	Appreciation of Music
音乐剧名作欣赏	Music Drama Appreciation
音乐剧与歌舞电影	"Music Drama , Movie of Singing & Dancing"
音乐乐理与吉他伴奏基础	Music Theory and Basis of Accompaniment
音乐理论基础	Fundamentals of Music Theory
音乐美学基础	Basis of musical Aesthetics
音乐名人与名作	Famous Persons and Works about Music
音乐原理与视唱	Music Principles and Visua Singing
银行会计与国际结算	Bank Accounting and International Setting Accounts
饮食营养与文化赏析	Food Nutrition & Culture Appreciation
印前技术	Print Manufacture Process
应聘面试的心理调控	Psychology Adjustment in Employment Interview
应用催化	Catalyze Application
应用电化学	Applied Electrochemistry
应用电化学概论	Introduction to Applied Electrochemistry
应用电化学基础	Fundamental of Applied Electrochemistry
应用光学	Applied Optics
应用量子化学	Applied Quantum Chemistry
应用量子化学及实验	Applied Quantum Chemistry and Lab.
应用流体力学	Applied Fluid Dynamics
应用流体力学（外文教材）	Applied Fluid Mechanics
应用软件大型作业	Application Project Laboratory
应用统计	Applied Statistics
应用统计学	Applied Statistics
应用统计学（A类）	Applied Statistics
应用统计学（B类）	Applied Statistics
应用物理学毕业论文	Undergraduate Project (Thesis)
英国文学概论（1）	British Literature Introduction I
英国文学概论（2）	British Literature Introduction II
英国文学概论(二)	British Literature Introduction II
英国文学概论(一)	British Literature Introduction I
英汉翻译	E-C Translation
英汉翻译（1）	Translation
英汉翻译（2）	Translation
英汉翻译赏析	English Chinese Translation Skills and Their Applications
英美报刊时事评介	What's Going On Over the World: News Exploration
英美报刊选读	Selected Readings of English Newspapers
英美电影欣赏	Enjoyment of British and American Films
英美法	American and British law
英美法概论	An Introduction to English Law and the Law of the United States
英美名诗赏析	Appreciation of Classic English Poems
英美商法	Law Merchant of English and American
英美文学欣赏（医学院）	English and American Literature
英美文学选读	English and American Literature
英文报刊导读	Introduction to English Newspapers and Magazines
英文经济指标与指数阅读	Reading English Indicators and Indexes
英文数学文献选读	Reading of Mathematical Reference in English
英文文献选读	Reading of English Reference
英译汉（1）	Translation From English Into Chinese I
英译汉（2）	Translation From English Into Chinese II
英语（第二外语）（1）	English (as a second foreign language)
英语（第二外语）（2）	English (as a second foreign language)
英语(提前)	English (In Advance)
英语报刊技能（1）	English Newspapers Skills I
英语报刊技能（2）	English Newspapers Skills II
英语报刊选读	Selected Readings of English Newspapers
英语报刊选读（1）	Selected Readings of English Newspapers I
英语报刊选读（2）	Selected Readings of English Newspapers II
英语毕业论文	Undergraduate Project (Thesis)
英语词汇25000	English Vocabulary 25000
英语二外	English
英语翻译（1）	English Translation I
英语翻译（2）	English Translation II
英语泛读	Extensive English Reading
英语泛读（1）	Extensive English Reading
英语泛读（1）	Extensive English Reading I
英语泛读（2）	Extensive English Reading II
英语泛读（3）	Extensive English Reading III
英语泛读（4）	Extensive English Reading IV
英语泛读（M类）（1）	Extensive English Reading I
英语泛读（M类）（2）	Extensive English Reading II
英语泛读(二)	Extensive English Reading II
英语泛读(三)	Extensive English Reading III
英语泛读(四)	Extensive English Reading IV
英语泛读(一)	Extensive English Reading I
英语高级口译	English Advanced Interpretation
英语歌曲欣赏	English Songs Enjoyment
英语国家概况（1）	Introduction to English-Using Countries
英语国家概况（2）	Introduction to English-Using Countries
英语国家概况(二)	Introduction to English-Using Countries
英语国家概况(一)	Introduction to English-Using Countries
英语会话	English Conversation
英语交际技能	English Communication Skills
英语经典短篇小说	English Classic Short Story
英语经典歌曲赏析	Enjoyment of Classic English Songs
英语经典歌曲欣赏	Classical English Songs Enjoyment
英语精读	English Intensive Reading
英语精读（1）	English Intensive Reading I
英语精读（2）	English Intensive Reading II
英语精读（3）	English Intensive Reading III
英语口语	Oral English
英语口语	Oral English III
英语口语	Spoken English
英语口语（1）	Oral English
英语口语（1）	Oral English I
英语口语（2）	Oral English II
英语口语（3）	Oral English III
英语口语（4）	Oral English IV
英语口语（5）	Oral English III
英语口语（6）	Oral English IV
英语口语（A类）（1）	Spoken English
英语口语（A类）（2）	Spoken English
英语口语（M类）（1）	Oral English I
英语口语（M类）（2）	Oral English II
英语口语(二)	Oral English II
英语口语（国贸）	Oral English
英语口语(三)	Oral English III
英语口语(四)	Oral English IV
英语口语(一)	Oral English I
英语口语4	Oral English IV
英语名诗鉴赏	English Poems
英语视听	Audiovisual English
英语视听（1）	Audio-Visual English
英语视听（1）	Audio-Visual English I
英语视听（2）	Audio-Visual English II
英语视听（3）	Audio-Visual English III
英语视听（4）	Audio-Visual English IV
英语视听（5）	Audio-Visual English III
英语视听（6）	Audio-Visual English IV
英语视听(二)	Audio-Visual English II
英语视听(三)	Audio-Visual English III
英语视听(四)	Audio-Visual English IV
英语视听(一)	Audio-Visual English I
英语视听说	English Audio-Visual Speaking Course
英语视听说中级	Audio-Visual English
英语听力	English Listening
英语听说	English Listening and Speaking
英语文选选读	English Reading
英语文学经典选讲	Selected Readings in English
英语写作	English Writing
英语写作（1）	English Writing I
英语写作（1）	English Writing Skills I
英语写作（2）	English Writing Skills II
英语写作（3）	English Writing Skills III
英语写作（4）	English Writing Skills IV
英语写作（5）	English Writing V
英语写作（6）	English Writing VI
英语写作（IT文档）	English Writing (IT)
英语写作（M类）（1）	English Writing I
英语写作（M类）（2）	English Writing II
英语写作(二)	English Writing Skills II
英语写作(六)	English Writing Skills
英语写作(三)	English Writing Skills III
英语写作(四)	English Writing Skills IV
英语写作(五)	English Writing Skills
英语写作(一)	English Writing Skills I
英语写作能力的自我培养与提高	Self Cultivation and Development of English Writing Ability
英语应用能力	English Application
英语影视鉴赏和翻译	Enjoyment and Translation of English Movie
英语影视鉴赏与翻译	Enjoyment and Translation of English Movie
英语影视欣赏	Enjoyment of English Movie
英语语法	Grammar of English
英语语法（1）	Grammar of English I
英语语法（2）	Grammar of English II
英语语法（3）	Grammar of English I
英语语法（4）	Grammar of English II
英语语法(二)	Grammar of English II
英语语法(一)	Grammar of English I
英语语言学概论（1）	Introduction to English Linguistics I
英语语言学概论（2）	Introduction to English Linguistics II
英语语言学概论(二)	Introduction to English Linguistics II
英语语言学概论(一)	Introduction to English Linguistics I
英语语音学	English Phonetics
英语语音学概论（二）	English Speech II
英语语音学概论（一）	English Speech I
英语阅读	English Reading
英语阅读1	English Reading
英语阅读2	English Reading
英语阅读3	English Reading
英语阅读4	English Reading
英语阅读与写作	English Reading and Writing
英语中级口译	English Interpretation
英语中级口译听力	English Interpretation
英语中级口译证书听力	English Interpretation
英语中级口语	English Oral Translation
英语综合技能	Integrated Skills of English
英语综合技能（1）	Integrated Skills of English I
英语综合技能（2）	Integrated Skills of English II
英语综合技能(二)	Integrated Skills of English II
英语综合技能(一)	Integrated Skills of English I
营销传播学	Marketing Broadcasting
营销管理学	Marketing Management
营养学	Nutrition
影视表演基础	Fundamentals of Film & TV Performence
影视传播心理学	Psychology of Film and TV Communication
影视广告	Film & TV Ad
影视广告制作	TVC Production
影视精品赏析	Appreciation of TV and Film
影视精品赏析（1-1）	Appreciation of TV and Film
影视精品赏析（1-1）*	Appreciation of TV and Film
影视精品赏析（1-2）	Appreciation of TV and Film
影视精品赏析（1-2）*	Appreciation of TV and Film
影视精品赏析（1－3）	Appreciation of TV and Film
影视精品赏析（1-3）*	Appreciation of TV and Film
影视精品赏析（2-1）	Appreciation of TV and Film
影视精品赏析（2-2）	Appreciation of TV and Film
影视精品赏析（2-3）	Appreciation of TV and Film
影视精品赏析1(1)	Appreciation of TV and Film
影视剧导演基础	Basics of TV Directing
影视剧企划	Fillm and Drama Program Planning
影视剧艺术概论	Introduction to Film & TV Art
影视剧与中国历史文化	Relationship Between Film & TV and Chinese Traditional Culture
影视理论与欣赏	Theory of Film and Television and Enjoy
影视媒体设计	Design of TV and Film Media
影视民俗与社会研究	Folk on Television and Social Research
影视评论	Comment on Film & TV
影视全球化与本土化	Natural and Globality of Film and TV
